BERYL-MBLite , U    , *PGA*209* ,                    ,
             ,      ,           ,                    ,
Pin          , Unit , Type      , Name               , Side
196          , 1    , input     , clk_i              , left
198          , 1    , input     , rst_i              , left
199          , 1    , input     , int_i              , left
*            , 1    ,           ,                    , right
30           , 1    , input     , test_se_i          , right
31           , 1    , input     , test_tm_i          , right
189          , 2    , input     , data_mem_i_0       , left
188          , 2    , input     , data_mem_i_1       , left
187          , 2    , input     , data_mem_i_2       , left
186          , 2    , input     , data_mem_i_3       , left
185          , 2    , input     , data_mem_i_4       , left
184          , 2    , input     , data_mem_i_5       , left
183          , 2    , input     , data_mem_i_6       , left
182          , 2    , input     , data_mem_i_7       , left
181          , 2    , input     , data_mem_i_8       , left
180          , 2    , input     , data_mem_i_9       , left
179          , 2    , input     , data_mem_i_10      , left
178          , 2    , input     , data_mem_i_11      , left
177          , 2    , input     , data_mem_i_12      , left
176          , 2    , input     , data_mem_i_13      , left
173          , 2    , input     , data_mem_i_14      , left
172          , 2    , input     , data_mem_i_15      , left
171          , 2    , input     , data_mem_i_16      , left
170          , 2    , input     , data_mem_i_17      , left
169          , 2    , input     , data_mem_i_18      , left
168          , 2    , input     , data_mem_i_19      , left
167          , 2    , input     , data_mem_i_20      , left
166          , 2    , input     , data_mem_i_21      , left
165          , 2    , input     , data_mem_i_22      , left
164          , 2    , input     , data_mem_i_23      , left
163          , 2    , input     , data_mem_i_24      , left
160          , 2    , input     , data_mem_i_25      , left
159          , 2    , input     , data_mem_i_26      , left
158          , 2    , input     , data_mem_i_27      , left
157          , 2    , input     , data_mem_i_28      , left
156          , 2    , input     , data_mem_i_29      , left
155          , 2    , input     , data_mem_i_30      , left
154          , 2    , input     , data_mem_i_31      , left
153          , 2    , input     , data_mem_i_32      , left
29           , 3    , input     , inst_mem_i_0        , left
28           , 3    , input     , inst_mem_i_1        , left
27           , 3    , input     , inst_mem_i_2        , left
24           , 3    , input     , inst_mem_i_3        , left
23           , 3    , input     , inst_mem_i_4        , left
22           , 3    , input     , inst_mem_i_5        , left
21           , 3    , input     , inst_mem_i_6        , left
20           , 3    , input     , inst_mem_i_7        , left
19           , 3    , input     , inst_mem_i_8        , left
18           , 3    , input     , inst_mem_i_9        , left
15           , 3    , input     , inst_mem_i_10       , left
14           , 3    , input     , inst_mem_i_11       , left
13           , 3    , input     , inst_mem_i_12       , left
12           , 3    , input     , inst_mem_i_13       , left
11           , 3    , input     , inst_mem_i_14       , left
10           , 3    , input     , inst_mem_i_15       , left
7            , 3    , input     , inst_mem_i_16       , left
6            , 3    , input     , inst_mem_i_17       , left
5            , 3    , input     , inst_mem_i_18       , left
4            , 3    , input     , inst_mem_i_19       , left
3            , 3    , input     , inst_mem_i_20       , left
2            , 3    , input     , inst_mem_i_21       , left
1            , 3    , input     , inst_mem_i_22       , left
208          , 3    , input     , inst_mem_i_23       , left
207          , 3    , input     , inst_mem_i_24       , left
206          , 3    , input     , inst_mem_i_25       , left
205          , 3    , input     , inst_mem_i_26       , left
204          , 3    , input     , inst_mem_i_27       , left
203          , 3    , input     , inst_mem_i_28       , left
202          , 3    , input     , inst_mem_i_29       , left
193          , 3    , input     , inst_mem_i_30       , left
192          , 3    , input     , inst_mem_i_31       , left
57           , 4    , output    , chip_data_mem_o_0  , right
58           , 4    , output    , chip_data_mem_o_1  , right
59           , 4    , output    , chip_data_mem_o_2  , right
60           , 4    , output    , chip_data_mem_o_3  , right
61           , 4    , output    , chip_data_mem_o_4  , right
64           , 4    , output    , chip_data_mem_o_5  , right
65           , 4    , output    , chip_data_mem_o_6  , right
68           , 4    , output    , chip_data_mem_o_7  , right
69           , 4    , output    , chip_data_mem_o_8  , right
70           , 4    , output    , chip_data_mem_o_9  , right
71           , 4    , output    , chip_data_mem_o_10 , right
72           , 4    , output    , chip_data_mem_o_11 , right
73           , 4    , output    , chip_data_mem_o_12 , right
74           , 4    , output    , chip_data_mem_o_13 , right
75           , 4    , output    , chip_data_mem_o_14 , right
76           , 4    , output    , chip_data_mem_o_15 , right
104          , 4    , output    , chip_data_mem_o_16 , right
103          , 4    , output    , chip_data_mem_o_17 , right
102          , 4    , output    , chip_data_mem_o_18 , right
101          , 4    , output    , chip_data_mem_o_19 , right
100          , 4    , output    , chip_data_mem_o_20 , right
99           , 4    , output    , chip_data_mem_o_21 , right
96           , 4    , output    , chip_data_mem_o_22 , right
95           , 4    , output    , chip_data_mem_o_23 , right
94           , 4    , output    , chip_data_mem_o_24 , right
93           , 4    , output    , chip_data_mem_o_25 , right
